config_id,dish,placement_id,placement_x,placement_y,cost_g,cost_not_g,p_cook,lambda_param,max_timesteps,U_full,U_oracle,U_inference_ablation,U_efficiency_ablation
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,0,1,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,1,2,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,2,3,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,3,4,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,4,1,2,21,21,0.5,1.0,100,-31.5,-21.0,-31.5,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,5,2,2,21,21,0.5,1.0,100,-31.5,-21.0,-31.5,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,6,3,2,21,23,0.8807970779778824,1.0,100,-23.741667206508705,-21.0,-32.5,0.8807970779778824
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,7,4,2,21,23,0.8807970779778824,1.0,100,-23.741667206508705,-21.0,-32.5,0.8807970779778824
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,8,1,3,21,23,0.8807970779778824,1.0,100,-23.741667206508705,-21.0,-32.5,0.8807970779778824
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,9,2,3,21,23,0.8807970779778824,1.0,100,-23.741667206508705,-21.0,-32.5,0.8807970779778824
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,10,3,3,21,25,0.9820137900379085,1.0,100,-21.449655249052288,-21.0,-33.5,0.9820137900379085
6be479f8-4a3f-4d97-8f06-0f301b0acd64,OnionSalad,11,4,3,21,25,0.9820137900379085,1.0,100,-21.449655249052288,-21.0,-33.5,0.9820137900379085
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,0,1,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,1,2,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,2,3,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,3,4,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,4,1,2,21,21,0.5,1.0,100,-31.5,-21.0,-31.5,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,5,2,2,21,21,0.5,1.0,100,-31.5,-21.0,-31.5,0.5
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,6,3,2,23,21,0.11920292202211756,1.0,100,-41.49673863753553,-23.0,-33.5,0.11920292202211756
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,7,4,2,23,21,0.11920292202211756,1.0,100,-41.49673863753553,-23.0,-33.5,0.11920292202211756
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,8,1,3,23,21,0.11920292202211756,1.0,100,-41.49673863753553,-23.0,-33.5,0.11920292202211756
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,9,2,3,23,21,0.11920292202211756,1.0,100,-41.49673863753553,-23.0,-33.5,0.11920292202211756
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,10,3,3,25,21,0.01798620996209156,1.0,100,-45.62228959079608,-25.0,-35.5,0.01798620996209156
6be479f8-4a3f-4d97-8f06-0f301b0acd64,TomatoSalad,11,4,3,25,21,0.01798620996209156,1.0,100,-45.62228959079608,-25.0,-35.5,0.01798620996209156
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,0,1,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,1,2,1,50,34,1.12535162055095e-07,1.0,100,-83.99999617380449,-50.0,-67.0,1.12535162055095e-07
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,2,3,1,46,48,0.8807970779778824,1.0,100,-51.72174025706164,-46.0,-70.0,0.8807970779778824
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,3,4,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,4,1,2,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,5,2,2,30,32,0.8807970779778824,1.0,100,-33.81449350470776,-30.0,-46.0,0.8807970779778824
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,6,3,2,26,34,0.9996646498695335,1.0,100,-26.01140190443586,-26.0,-43.0,0.9996646498695335
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,7,4,2,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,8,1,3,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,9,2,3,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,10,3,3,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,OnionSalad,11,4,3,22,30,0.9996646498695335,1.0,100,-22.010060503913994,-22.0,-37.0,0.9996646498695335
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,TomatoSalad,0,1,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,TomatoSalad,1,2,1,34,50,0.9999998874648379,1.0,100,-34.0000056267581,-34.0,-59.0,0.9999998874648379
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,TomatoSalad,2,3,1,48,46,0.11920292202211756,1.0,100,-88.51666558698258,-48.0,-71.0,0.11920292202211756
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,TomatoSalad,3,4,1,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
74b431e8-e8ca-48fd-b5b4-ab6f32563faf,TomatoSalad,4,1,2,100,100,0.5,1.0,100,-150.0,-100.0,-150.0,0.5
