trial,trial_type,intended_slider_value,n_chopping_boards,n_counters,model_agents,model_model,model_recipe,model_seed,model_settings,timesteps,agent_pauses,agent_collisions,was_successful
trial_01,cooks,0.0,1,4,1,greedy,Salad,5,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,6,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,7,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,8,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,9,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,10,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,11,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,12,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,13,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,14,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,15,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,16,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,17,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,18,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,19,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,20,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,1,agents=2-model=greedy_greedy-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,2,agents=2-model=greedy_greedy-recipe=Salad,16,7,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,3,agents=2-model=greedy_greedy-recipe=Salad,16,13,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,4,agents=2-model=greedy_greedy-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,5,agents=2-model=greedy_greedy-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,6,agents=2-model=greedy_greedy-recipe=Salad,16,11,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,7,agents=2-model=greedy_greedy-recipe=Salad,16,9,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,8,agents=2-model=greedy_greedy-recipe=Salad,16,6,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,9,agents=2-model=greedy_greedy-recipe=Salad,16,7,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,10,agents=2-model=greedy_greedy-recipe=Salad,16,7,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,11,agents=2-model=greedy_greedy-recipe=Salad,16,11,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,12,agents=2-model=greedy_greedy-recipe=Salad,16,6,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,13,agents=2-model=greedy_greedy-recipe=Salad,16,6,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,14,agents=2-model=greedy_greedy-recipe=Salad,16,8,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,15,agents=2-model=greedy_greedy-recipe=Salad,16,4,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,16,agents=2-model=greedy_greedy-recipe=Salad,16,6,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,17,agents=2-model=greedy_greedy-recipe=Salad,16,13,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,18,agents=2-model=greedy_greedy-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,19,agents=2-model=greedy_greedy-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,20,agents=2-model=greedy_greedy-recipe=Salad,16,7,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,1,agents=2-model=bd_bd-recipe=Salad,20,18,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,2,agents=2-model=bd_bd-recipe=Salad,20,15,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,3,agents=2-model=bd_bd-recipe=Salad,20,17,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,4,agents=2-model=bd_bd-recipe=Salad,20,12,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,5,agents=2-model=bd_bd-recipe=Salad,20,16,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,6,agents=2-model=bd_bd-recipe=Salad,20,14,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,7,agents=2-model=bd_bd-recipe=Salad,20,13,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,8,agents=2-model=bd_bd-recipe=Salad,20,11,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,9,agents=2-model=bd_bd-recipe=Salad,20,14,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,10,agents=2-model=bd_bd-recipe=Salad,24,20,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,11,agents=2-model=bd_bd-recipe=Salad,20,15,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,12,agents=2-model=bd_bd-recipe=Salad,24,13,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,13,agents=2-model=bd_bd-recipe=Salad,20,17,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,14,agents=2-model=bd_bd-recipe=Salad,20,14,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,15,agents=2-model=bd_bd-recipe=Salad,20,15,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,16,agents=2-model=bd_bd-recipe=Salad,24,21,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,17,agents=2-model=bd_bd-recipe=Salad,24,17,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,18,agents=2-model=bd_bd-recipe=Salad,22,13,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,19,agents=2-model=bd_bd-recipe=Salad,24,15,0,True
trial_02,cooks,0.0,2,6,2,bd_bd,Salad,20,agents=2-model=bd_bd-recipe=Salad,20,14,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,1,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,2,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,3,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,4,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,5,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,6,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,7,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,8,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,9,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,10,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,11,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,12,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,13,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,14,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,15,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,16,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,17,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,18,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,19,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,2,centralized_centralized,Salad,20,agents=2-model=centralized_centralized-recipe=Salad,20,20,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,1,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,2,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,3,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,4,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,5,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,6,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,7,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,8,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,9,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,10,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,11,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,12,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,13,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,14,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,15,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,16,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,17,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,18,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,19,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,1,greedy,Salad,20,agents=1-model=greedy-recipe=Salad,20,0,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,1,agents=2-model=greedy_greedy-recipe=Salad,20,7,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,2,agents=2-model=greedy_greedy-recipe=Salad,20,13,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,3,agents=2-model=greedy_greedy-recipe=Salad,20,8,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,4,agents=2-model=greedy_greedy-recipe=Salad,20,8,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,5,agents=2-model=greedy_greedy-recipe=Salad,20,10,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,6,agents=2-model=greedy_greedy-recipe=Salad,20,8,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,7,agents=2-model=greedy_greedy-recipe=Salad,20,10,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,8,agents=2-model=greedy_greedy-recipe=Salad,20,11,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,9,agents=2-model=greedy_greedy-recipe=Salad,20,8,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,10,agents=2-model=greedy_greedy-recipe=Salad,20,7,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,11,agents=2-model=greedy_greedy-recipe=Salad,20,12,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,12,agents=2-model=greedy_greedy-recipe=Salad,20,14,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,13,agents=2-model=greedy_greedy-recipe=Salad,20,11,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,14,agents=2-model=greedy_greedy-recipe=Salad,20,5,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,15,agents=2-model=greedy_greedy-recipe=Salad,20,8,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,16,agents=2-model=greedy_greedy-recipe=Salad,20,12,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,17,agents=2-model=greedy_greedy-recipe=Salad,20,10,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,18,agents=2-model=greedy_greedy-recipe=Salad,20,10,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,19,agents=2-model=greedy_greedy-recipe=Salad,20,10,0,True
trial_02,cooks,0.0,2,6,2,greedy_greedy,Salad,20,agents=2-model=greedy_greedy-recipe=Salad,20,14,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,1,agents=2-model=bd_bd-recipe=Salad,24,13,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,2,agents=2-model=bd_bd-recipe=Salad,21,12,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,3,agents=2-model=bd_bd-recipe=Salad,22,11,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,4,agents=2-model=bd_bd-recipe=Salad,21,8,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,5,agents=2-model=bd_bd-recipe=Salad,26,12,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,6,agents=2-model=bd_bd-recipe=Salad,22,13,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,7,agents=2-model=bd_bd-recipe=Salad,21,10,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,8,agents=2-model=bd_bd-recipe=Salad,28,19,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,9,agents=2-model=bd_bd-recipe=Salad,23,11,0,True
